股票名称,股票跌幅1,总跌幅,股票涨幅,
广誉远_0600771.csv,-1.6753,-1.6753,0.5266,
康恩贝_0600572.csv,-5.3319,-5.3319,0.3448,
康普顿_0603798.csv,-5.5885,-5.5885,2.5112,
康盛股份_1002418.csv,-7.2838,-7.2838,9.9836,
建投能源_1000600.csv,-4.799,-4.799,0.2725,
建艺集团_1002789.csv,-7.3582,-7.3582,0.0552,
建设机械_0600984.csv,-3.2123,-3.2123,2.0202,
建车B_1200054.csv,-2.2819,-2.2819,0.2747,
开元股份_1300338.csv,-4.4563,-4.4563,7.2761,
开滦股份_0600997.csv,-5.5635,-5.5635,0.3021,
开立医疗_1300633.csv,-0.3446,-0.3446,2.8354,
张家界_1000430.csv,-5.6146,-5.6146,1.2862,
御银股份_1002177.csv,-6.0897,-6.0897,2.901,
微光股份_1002801.csv,-2.7427,-2.7427,0.1484,
德宏股份_0603701.csv,-6.6852,-6.6852,1.4179,
德生科技_1002908.csv,-3.7674,-3.7674,3.5766,
德艺文创_1300640.csv,-3.1179,-3.1179,0.7064,
思创医惠_1300078.csv,-3.6758,-3.6758,0.8806,
思维列控_0603508.csv,-0.7182,-0.7182,1.1179,
恒宝股份_1002104.csv,-6.3291,-6.3291,0.6757,
恒泰实达_1300513.csv,-3.7091,-3.7091,0.1907,
恒邦股份_1002237.csv,-2.2483,-2.2483,0.5,
恒银金融_0603106.csv,-5.3435,-5.3435,0.0806,
恒锋信息_1300605.csv,-0.9937,-0.9937,5.5996,
恒锋工具_1300488.csv,-1.7091,-1.7091,3.6256,
恩捷股份_1002812.csv,-3.1306,-3.1306,0.4617,
惠而浦_0600983.csv,-2.6063,-2.6063,1.1268,
慈星股份_1300307.csv,-2.0124,-2.0124,1.4218,
拓尔思_1300229.csv,-6.815,-6.815,2.4627,
拓维信息_1002261.csv,-3.177,-3.177,5.1563,
拓邦股份_1002139.csv,-6.1314,-6.1314,0.4666,
招商证券_0600999.csv,-3.0556,-3.0556,0.6304,
振兴生化_1000403.csv,-2.258,-2.258,0.035,
振华B股_0900947.csv,-1.519,-1.519,0.0,
振华科技_1000733.csv,-4.2373,-4.2373,0.885,
振华股份_0603067.csv,-1.9589,-1.9589,0.2997,
捷成股份_1300182.csv,-5.7283,-5.7283,0.1736,
掌趣科技_1300315.csv,-6.0606,-6.0606,0.4963,
探路者_1300005.csv,-4.7945,-4.7945,0.0,
摩登大道_1002656.csv,-9.2287,-9.2287,10.0152,
数字政通_1300075.csv,-6.2279,-6.2279,4.6038,
数据港_0603881.csv,-2.5742,-2.5742,0.9976,
数源科技_1000909.csv,-5.3965,-5.3965,1.6298,
数知科技_1300038.csv,-4.7619,-4.7619,0.2632,
数码科技_1300079.csv,-5.1699,-5.1699,3.5826,
新乡化纤_1000949.csv,-4.6921,-4.6921,1.5385,
新亚制程_1002388.csv,-5.255,-5.255,0.0,
新光药业_1300519.csv,-5.3851,-5.3851,0.7942,
新兴铸管_1000778.csv,-3.2946,-3.2946,0.4008,
新华文轩_0601811.csv,-5.4726,-5.4726,2.0301,
新城控股_0601155.csv,-0.8229,-0.8229,0.5532,
新大陆_1000997.csv,-3.5178,-3.5178,4.7721,
新天科技_1300259.csv,-7.0423,-7.0423,0.5051,
新宏泽_1002836.csv,-2.7505,-2.7505,7.138,
新开源_1300109.csv,-3.9164,-3.9164,3.6413,
新易盛_1300502.csv,-2.7276,-2.7276,0.0,
新晨科技_1300542.csv,-5.7864,-5.7864,1.2284,
新洋丰_1000902.csv,-1.4493,-1.4493,0.0,
新筑股份_1002480.csv,-6.1709,-6.1709,1.1804,
新莱应材_1300260.csv,-7.8261,-7.8261,1.0292,
新雷能_1300593.csv,-4.0484,-4.0484,1.6974,
方大B_1200055.csv,-2.0408,-2.0408,0.2604,
方大炭素_0600516.csv,-4.9963,-4.9963,0.896,
旋极信息_1300324.csv,-6.3885,-6.3885,0.1393,
日出东方_0603366.csv,-5.7851,-5.7851,0.0,
日发精机_1002520.csv,-4.3269,-4.3269,0.7538,
日月股份_0603218.csv,-4.7223,-4.7223,6.5626,
日照港_0600017.csv,-3.7356,-3.7356,0.597,
昆仑万维_1300418.csv,-4.955,-4.955,1.151,
昊志机电_1300503.csv,-5.9434,-5.9434,1.003,
明阳电路_1300739.csv,-5.3435,-5.3435,1.6532,
易事特_1300376.csv,-4.5827,-4.5827,2.0583,
易华录_1300212.csv,-2.9477,-2.9477,0.2865,
星徽精密_1300464.csv,-3.8919,-3.8919,2.5872,
星普医科_1300143.csv,-4.6458,-4.6458,2.6797,
星湖科技_0600866.csv,-5.3398,-5.3398,0.1709,
星网锐捷_1002396.csv,-4.131,-4.131,2.4845,
春光科技_0603657.csv,-4.183,-4.183,0.0,
春秋电子_0603890.csv,-5.6932,-5.6932,1.2074,
晨丰科技_0603685.csv,-5.4496,-5.4496,0.2882,
晨鑫科技_1002447.csv,-5.7592,-5.7592,1.1111,
普丽盛_1300442.csv,-5.1383,-5.1383,10.0,
普洛药业_1000739.csv,-2.1782,-2.1782,1.1134,
晶方科技_0603005.csv,-4.6354,-4.6354,0.2025,
晶盛机电_1300316.csv,-5.3452,-5.3452,0.7059,
智动力_1300686.csv,-4.2286,-4.2286,0.1193,
智慧能源_0600869.csv,-6.25,-6.25,0.1905,
曙光股份_0600303.csv,-8.1315,-8.1315,0.1883,
曲美家居_0603818.csv,-3.5714,-3.5714,0.0,
朗源股份_1300175.csv,-5.7554,-5.7554,1.0687,
朗玛信息_1300288.csv,-7.7841,-7.7841,6.9008,
朗科智能_1300543.csv,-8.9487,-8.9487,0.2148,
朗科科技_1300042.csv,-5.7592,-5.7592,10.0,
来伊份_0603777.csv,-6.7704,-6.7704,10.0167,
杭州高新_1300478.csv,0.0,0.0,3.7344,
杭电股份_0603618.csv,-7.4705,-7.4705,0.2833,
杰恩设计_1300668.csv,-2.4164,-2.4164,0.381,
杰赛科技_1002544.csv,-5.6311,-5.6311,2.5377,
松发股份_0603268.csv,-3.6018,-3.6018,0.2076,
松芝股份_1002454.csv,-2.439,-2.439,2.3333,
林洋能源_0601222.csv,-4.8951,-4.8951,0.3676,
柏堡龙_1002776.csv,-1.2691,-1.2691,1.7013,
桂发祥_1002820.csv,-2.5245,-2.5245,0.0,
梅安森_1300275.csv,0.0,0.0,1.7341,
森特股份_0603098.csv,-2.2624,-2.2624,0.463,
森马服饰_1002563.csv,-2.6268,-2.6268,1.0233,
楚江新材_1002171.csv,-4.3478,-4.3478,0.0,
欣天科技_1300615.csv,-3.656,-3.656,0.481,
欣旺达_1300207.csv,-4.0874,-4.0874,1.4695,
欣龙控股_1000955.csv,-6.4401,-6.4401,1.3384,
歌尔股份_1002241.csv,-3.1703,-3.1703,2.4322,
正元智慧_1300645.csv,-2.0891,-2.0891,0.8984,
正川股份_0603976.csv,-7.1159,-7.1159,0.2902,
正平股份_0603843.csv,-5.9609,-5.9609,2.0765,
武进不锈_0603878.csv,-1.4436,-1.4436,4.5939,
比音勒芬_1002832.csv,-2.2965,-2.2965,0.6197,
水井坊_0600779.csv,-2.5246,-2.5246,3.3582,
水星家纺_0603365.csv,-1.7289,-1.7289,2.3269,
水晶光电_1002273.csv,-3.574,-3.574,0.7413,
永吉股份_0603058.csv,-5.0189,-5.0189,0.2991,
