股票名称, 股票跌幅天数, 股票总涨跌幅,
中国中铁_0601390.csv,2,-4.819599999999999,
中国交建_0601800.csv,2,-7.3467,
中国人保_0601319.csv,3,-4.5388,
中国动力_0600482.csv,2,-7.5979,
中国化学_0601117.csv,2,-4.6585,
中国医药_0600056.csv,2,-6.0339,
中国南车_0601766.csv,2,-4.8947,
中国国旅_0601888.csv,1,-2.5466,
中国国航_0601111.csv,2,-4.5078,
中国国贸_0600007.csv,5,-4.375699999999999,
中国外运_0601598.csv,2,-4.853400000000001,
中国天楹_1000035.csv,2,-7.8233,
中国宝安_1000009.csv,2,-6.9491,
中国巨石_0600176.csv,2,-3.1324,
中国应急_1300527.csv,2,-7.637600000000001,
中国建筑_0601668.csv,2,-4.7418,
中国核建_0601611.csv,2,-5.862,
中国核电_0601985.csv,2,-3.9605,
中国武夷_1000797.csv,2,-7.1042,
中国汽研_0601965.csv,2,-7.873099999999999,
中国海诚_1002116.csv,2,-13.2773,
中国海防_0600764.csv,6,-13.6265,
中国电建_0601669.csv,5,-10.9958,
中国石化_0600028.csv,4,-4.6316,
中国石油_0601857.csv,4,-4.066,
中国神华_0601088.csv,2,-2.679,
中国联通_0600050.csv,2,-5.5566,
中国西电_0601179.csv,2,-5.0228,
中国软件_0600536.csv,2,-5.4597,
中国重工_0601989.csv,6,-15.408199999999999,
中国重汽_1000951.csv,2,-5.2614,
中国铁建_0601186.csv,2,-6.5172,
中国铝业_0601600.csv,5,-8.636,
中国银河_0601881.csv,2,-4.9885,
中国银行_0601988.csv,3,-2.2954,
中坚科技_1002779.csv,2,-9.2488,
中大力德_1002896.csv,8,-7.785599999999999,
中天科技_0600522.csv,2,-6.2063999999999995,
中天能源_0600856.csv,5,-23.632600000000004,
中天金融_1000540.csv,2,-9.9879,
中央商场_0600280.csv,2,-7.7576,
中孚实业_0600595.csv,5,-18.3579,
中宠股份_1002891.csv,2,-6.7035,
中山公用_1000685.csv,2,-4.0349,
中山金马_1300756.csv,2,-5.8444,
中工国际_1002051.csv,5,-17.909100000000002,
中广核技_1000881.csv,2,-8.0338,
中恒电气_1002364.csv,2,-5.7696000000000005,
中恒集团_0600252.csv,5,-6.7674,
中成股份_1000151.csv,2,-7.5161,
中持股份_0603903.csv,2,-5.8034,
中捷资源_1002021.csv,4,-25.9466,
中新科技_0603996.csv,2,-8.2946,
中曼石油_0603619.csv,2,-11.3691,
中材国际_0600970.csv,2,-6.3096,
中材科技_1002080.csv,2,-9.8507,
中材节能_0603126.csv,2,-7.960800000000001,
中核科技_1000777.csv,2,-5.1249,
中核钛白_1002145.csv,2,-9.4563,
中欣氟材_1002915.csv,2,-9.3797,
中水渔业_1000798.csv,1,-9.2461,
中油工程_0600339.csv,4,-7.1168,
中油资本_1000617.csv,2,-4.131,
中泰化学_1002092.csv,2,-11.0242,
中洲控股_1000042.csv,3,-6.3891,
中海油服_0601808.csv,4,-8.2253,
中润资源_1000506.csv,2,-7.3401,
中源协和_0600645.csv,2,-3.6654,
中源家居_0603709.csv,1,-1.8974,
中煤能源_0601898.csv,2,-4.5544,
中环环保_1300692.csv,2,-8.7847,
中环股份_1002129.csv,2,-6.1276,
中珠医疗_0600568.csv,2,-5.5991,
中电兴发_1002298.csv,2,-8.2944,
中电环保_1300172.csv,2,-5.829,
中电电机_0603988.csv,2,-6.0172,
中直股份_0600038.csv,2,-3.4091,
中矿资源_1002738.csv,4,-8.449300000000001,
中科电气_1300035.csv,2,-5.112,
中科金财_1002657.csv,2,-6.6196,
中粮地产_1000031.csv,3,-5.6106,
中粮生化_1000930.csv,2,-5.2922,
中粮糖业_0600737.csv,2,-5.169300000000001,
中能电气_1300062.csv,2,-7.9892,
中航三鑫_1002163.csv,5,-16.714100000000002,
中航投资_0600705.csv,2,-7.190300000000001,
中航机电_1002013.csv,2,-4.3643,
