股票名称,最低价天数,收盘价天数,
东珠生态_0603359.csv,33,33,
东百集团_0600693.csv,38,36,
东睦股份_0600114.csv,46,0,
东莞控股_1000828.csv,19,19,
东诚药业_1002675.csv,38,38,
东贝B股_0900956.csv,43,43,
东软载波_1300183.csv,10,0,
东软集团_0600718.csv,36,0,
东阳光科_0600673.csv,19,19,
东阿阿胶_1000423.csv,18,18,
东音股份_1002793.csv,0,0,
东风汽车_0600006.csv,11,11,
东风科技_0600081.csv,9,9,
东风股份_0601515.csv,36,36,
丝路视觉_1300556.csv,19,0,
两面针_0600249.csv,0,0,
中亚股份_1300512.csv,50,50,
中交地产_1000736.csv,14,0,
中京电子_1002579.csv,48,48,
中体产业_0600158.csv,28,0,
中信国安_1000839.csv,43,43,
中信建投_0601066.csv,3,0,
中信海直_1000099.csv,40,19,
中信证券_0600030.csv,19,0,
中信重工_0601608.csv,19,19,
中信银行_0601998.csv,19,0,
中储股份_0600787.csv,21,0,
中元股份_1300018.csv,48,18,
中光防雷_1300414.csv,23,2,
中公高科_0603860.csv,19,19,
中关村_1000931.csv,33,33,
中兴商业_1000715.csv,3,0,
中兴通讯_1000063.csv,8,0,
中兵红箭_1000519.csv,33,0,
中再资环_0600217.csv,8,0,
中农立华_0603970.csv,20,19,
中利集团_1002309.csv,44,44,
中化国际_0600500.csv,18,18,
中化岩土_1002542.csv,33,33,
中华企业_0600675.csv,0,0,
中南传媒_0601098.csv,79,0,
中南建设_1000961.csv,3,3,
中原传媒_1000719.csv,53,48,
中原内配_1002448.csv,19,19,
中原环保_1000544.csv,8,2,
中原证券_0601375.csv,38,38,
中原高速_0600020.csv,37,37,
中嘉博创_1000889.csv,42,42,
中国一重_0601106.csv,42,42,
中国中冶_0601618.csv,42,42,
中国中期_1000996.csv,16,0,
中国中铁_0601390.csv,46,46,
中国交建_0601800.csv,19,19,
中国人保_0601319.csv,19,19,
中国人寿_0601628.csv,8,0,
中国出版_0601949.csv,0,0,
中国动力_0600482.csv,44,28,
中国化学_0601117.csv,28,28,
中国医药_0600056.csv,43,43,
中国南车_0601766.csv,53,53,
中国卫星_0600118.csv,32,0,
中国国旅_0601888.csv,7,6,
中国国航_0601111.csv,21,21,
中国国贸_0600007.csv,29,29,
中国外运_0601598.csv,38,38,
中国天楹_1000035.csv,19,8,
中国太保_0601601.csv,8,8,
中国宝安_1000009.csv,33,33,
中国巨石_0600176.csv,18,18,
中国平安_0601318.csv,8,8,
中国应急_1300527.csv,18,18,
中国建筑_0601668.csv,19,19,
中国核建_0601611.csv,19,19,
中国核电_0601985.csv,43,43,
中国武夷_1000797.csv,54,53,
中国汽研_0601965.csv,25,25,
中国海诚_1002116.csv,20,19,
中国海防_0600764.csv,33,33,
中国电建_0601669.csv,43,43,
中国电影_0600977.csv,19,0,
中国石化_0600028.csv,19,19,
中国石油_0601857.csv,51,51,
中国神华_0601088.csv,19,19,
中国科传_0601858.csv,21,0,
中国联通_0600050.csv,8,8,
中国西电_0601179.csv,19,0,
中国软件_0600536.csv,8,8,
中国重工_0601989.csv,19,19,
中国重汽_1000951.csv,15,14,
中国铁建_0601186.csv,43,43,
中国铝业_0601600.csv,19,19,
中国银河_0601881.csv,18,0,
中国银行_0601988.csv,15,10,
中国长城_1000066.csv,27,0,
中国高科_0600730.csv,33,0,
中坚科技_1002779.csv,51,50,
中大力德_1002896.csv,44,44,
中天科技_0600522.csv,8,8,
中天能源_0600856.csv,34,34,
中天金融_1000540.csv,19,18,
中央商场_0600280.csv,43,19,
中威电子_1300270.csv,38,0,
中孚信息_1300659.csv,0,0,
中孚实业_0600595.csv,49,49,
中宠股份_1002891.csv,78,78,
中富通_1300560.csv,8,0,
中山公用_1000685.csv,19,19,
中山金马_1300756.csv,76,76,
中工国际_1002051.csv,33,33,
中广天择_0603721.csv,13,8,
中广核技_1000881.csv,18,18,
中恒电气_1002364.csv,38,38,
中恒集团_0600252.csv,28,0,
中成股份_1000151.csv,29,29,
中房股份_0600890.csv,1,1,
中持股份_0603903.csv,27,0,
中捷资源_1002021.csv,51,51,
中文传媒_0600373.csv,43,0,
中文在线_1300364.csv,41,0,
