股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,股票涨跌幅5,总涨跌幅,
新农股份_1002942.csv,-4.0713,-2.6212,-0.4241,-0.8091,-1.9359,-9.8616,
新华制药_1000756.csv,-1.6645,-8.8681,0.0,-0.4646,-0.5774,-11.574600000000002,
新华医疗_0600587.csv,-1.4604,-2.9034,0.0,-2.6938,-0.8469,-7.904499999999999,
新大洲A_1000571.csv,-4.0146,-4.1958,-3.3784,-5.1282,-4.878,-21.595,
新湖中宝_0600208.csv,-2.9891,-4.4156,0.0,-0.2591,-0.5155,-8.1793,
新钢股份_0600782.csv,-3.5948,-4.2254,-0.4673,-5.0296,-1.8868,-15.2039,
无锡银行_0600908.csv,-0.4658,-2.719,-0.1508,-0.7485,-2.4818,-6.5659,
日机密封_1300470.csv,-3.3569,-0.9797,-0.035,-2.3566,-0.8802,-7.6084,
明泰铝业_0601677.csv,-2.3963,-1.9874,-0.36,-0.8036,-0.1783,-5.725600000000001,
易联众_1300096.csv,-0.2703,-3.8961,-1.4505,-1.9247,-1.9688,-9.5104,
星网宇达_1002829.csv,-0.0913,-1.3069,-1.3339,-2.9767,-1.1092,-6.818,
普利特_1002324.csv,-3.3735,-1.6588,-0.7059,-0.3906,-2.5875,-8.7163,
智慧松德_1300173.csv,-1.7452,-9.6215,0.0,0.0,-5.5142,-16.8809,
暴风集团_1300431.csv,-1.864,-7.0336,-1.3078,-4.698,-0.382,-15.285400000000001,
杭州银行_0600926.csv,-1.4994,-0.8009,0.0,-0.907,-2.1088,-5.3161000000000005,
梅轮电梯_0603321.csv,-2.716,-3.3413,-1.7585,-6.4693,-0.8696,-15.1547,
楚天高速_0600035.csv,-0.838,-3.7634,-0.8,-1.5748,-1.039,-8.0152,
横店东磁_1002056.csv,-0.8333,-6.6148,-1.027,-0.6378,-3.3292,-12.4421,
横店影视_0603103.csv,-2.2222,-7.4597,-2.7069,-1.1632,-4.658,-18.21,
民生银行_0600016.csv,-1.5674,-0.9317,-0.4637,-0.4615,-1.9608,-5.3850999999999996,
汇川技术_1300124.csv,-1.1069,-3.0348,-1.4588,-1.826,-1.1327,-8.5592,
江苏国信_1002608.csv,-0.2191,-3.7935,-0.7322,-2.6477,-6.387,-13.779499999999999,
浦发银行_0600000.csv,-1.9064,-0.6885,-0.6838,-0.0854,-2.4979,-5.862,
海信电器_0600060.csv,-0.3929,-4.0528,-0.0942,-2.0295,-1.9005,-8.469899999999999,
海创B股_0900955.csv,0.0,-0.9063,-0.3012,-1.1905,-2.3256,-4.723599999999999,
海南瑞泽_1002596.csv,-1.4365,-5.7292,-2.0408,-3.8273,-1.1639,-14.1977,
海康威视_1002415.csv,-1.6698,-0.8584,-1.5394,-2.9868,-2.149,-9.203400000000002,
海王生物_1000078.csv,-0.4651,-4.2316,0.0,-0.4435,-1.7429,-6.8831,
海航投资_1000616.csv,-2.6316,-2.5641,-0.5666,-1.1204,-2.1918,-9.0745,
深中华B_1200017.csv,-0.5025,-2.9268,-0.9662,-1.4286,0.0,-5.8241000000000005,
深圳机场_1000089.csv,-0.1121,-1.978,0.0,-0.655,-1.3994,-4.1445,
深赛格B_1200058.csv,-0.7067,-1.3937,-1.7123,0.0,0.0,-3.8127,
渤海租赁_1000415.csv,-0.6696,-3.6559,-1.2739,-3.2854,-2.7944,-11.6792,
澄天伟业_1300689.csv,-2.5994,-1.5114,-0.7044,-5.962,-1.1952,-11.9724,
